Province/State,Country/Region,Population
,Afghanistan,"38,930,000"
,Albania,"2,880,000"
,Algeria,"43,851,044"
,Andorra,"77,265"
,Angola,"32,870,000"
,Antigua and Barbuda,"97,929"
,Argentina,"45,195,774"
,Armenia,"2,960,000"
Australian Capital Territory,Australia,"418,440"
New South Wales,Australia,"8,092,000"
Northern Territory,Australia,"249,220"
Queensland,Australia,"5,110,000"
South Australia,Australia,"1,700,000"
Tasmania,Australia,"524,170"
Victoria,Australia,"6,490,000"
Western Australia,Australia,"2,760,000"
,Austria,"9,010,000"
,Azerbaijan,"10,139,177"
,Bahamas,"393,244"
,Bahrain,"1,700,000"
,Bangladesh,"164,690,000"
,Barbados,"287,375"
,Belarus,"9,450,000"
,Belgium,"11,590,000"
,Benin,"12,120,000"
,Bhutan,"771,608"
,Bolivia,"11,670,000"
,Bosnia and Herzegovina,"3,280,000"
,Brazil,"212,559,417"
,Brunei,"437,479"
,Bulgaria,"6,948,445"
,Burkina Faso,"20,903,273"
,Cabo Verde,"555,987"
,Cambodia,"16,720,000"
,Cameroon,"26,550,000"
Alberta,Canada,"4,410,000"
British Columbia,Canada,"5,100,000"
Grand Princess,Canada,
Manitoba,Canada,"1,272,000"
New Brunswick,Canada,"761,214"
Newfoundland and Labrador,Canada,"536,000"
Nova Scotia,Canada,"940,600"
Ontario,Canada,"14,446,515"
Prince Edward Island,Canada,"158,158"
Quebec,Canada,"8,180,000"
Saskatchewan,Canada,"1,168,423"
,Central African Republic,"4,829,767"
,Chad,"16,430,000"
,Chile,"19,120,000"
Anhui,China,"1,870,000"
Beijing,China,"20,463,000"
Chongqing,China,"15,872,000"
Fujian,China,"38,565,000"
Gansu,China,"26,000,000"
Guangdong,China,"113,460,000"
Guangxi,China,"48,380,000"
Guizhou,China,"34,746,468"
Hainan,China,"9,257,600"
Hebei,China,"74,700,500"
Heilongjiang,China,"38,312,224"
Henan,China,"95,590,000"
Hong Kong,China,"7,482,500"
Hubei,China,"58,500,000"
Hunan,China,"67,370,000"
